Freq.	V(vd)	V(vtest_in)	I(V4)
3.01995172040201e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
3.09029543251359e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
3.16227766016838e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
3.23593656929628e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
3.31131121482591e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
3.38844156139202e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
3.46736850452531e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
3.54813389233575e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
3.63078054770101e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
3.71535229097172e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
3.80189396320561e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
3.89045144994280e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
3.98107170553497e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
4.07380277804112e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
4.16869383470335e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
4.26579518801592e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
4.36515832240165e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
4.46683592150962e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
4.57088189614874e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
4.67735141287197e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
4.78630092322638e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
4.89778819368445e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
5.01187233627271e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
